Manufacture;LG
Cell Name;MJ1
description;18650
chemistry;Li-NMC
Year of Manuf;2017
Data source;AllCell data
Cell Format;cylindrical
Mass [kg];0,049
Width or OD [cm];1,8
Length/Height [cm];6,5
Thickness [cm];N/A
Capacity [Ah];3,4
Nom Pot [Vdc];3,7
Nom Res [Ohms];0,07
Max Rech Pot [Vdc];4,2
Min Disch Pot [Vdc];2,9
Mass Gain [%/SOC];0
Nom Energy [Wh];12,58
Voc at 0% SOC;2,9
Voc at 10% SOC;3,21
Voc at 20% SOC;3,45
Voc at 30% SOC;3,56
Voc at 40% SOC;3,63
Voc at 50% SOC;3,7
Voc at 60% SOC;3,8
Voc at 70% SOC;3,91
Voc at 80% SOC;4,01
Voc at 90% SOC;4,086
Voc at 100% SOC;4,185
R disch at 0% SOC;0,18
R disch at 10% SOC;0,08
R disch at 20% SOC;0,08
R disch at 30% SOC;0,08
R disch at 40% SOC;0,08
R disch at 50% SOC;0,075
R disch at 60% SOC;0,07
R disch at 70% SOC;0,07
R disch at 80% SOC;0,065
R disch at 90% SOC;0,06
R disch at 100% SOC;0,05
R rech at 0% SOC;0,05
R rech at 10% SOC;0,06
R rech at 20% SOC;0,065
R rech at 30% SOC;0,07
R rech at 40% SOC;0,07
R rech at 50% SOC;0,075
R rech at 60% SOC;0,08
R rech at 70% SOC;0,08
R rech at 80% SOC;0,1
R rech at 90% SOC;0,15
R rech at 100% SOC;0,3
Therm Cap [J/C/gr];1
Therm Res [W/C];20
Ethalpy [%Cth/SOC];0
Res Temp Gain;2,6
Res Temp Exp;-0,029
